Year,Top10,Top1,Top05,Top01
1810,58.0%,25.0%,0%,0%
1820,58.0%,25.0%,0%,0%
1830,58.0%,25.0%,0%,0%
1840,58.0%,25.0%,0%,0%
1850,58.0%,25.0%,0%,0%
1860,58.0%,25.0%,0%,0%
1870,71.0%,32.0%,0%,0%
1880,71.0%,32.0%,0%,0%
1890,71.0%,32.0%,0%,0%
1900,71.0%,32.0%,0%,0%
1910,77.1%,40.3%,33.4%,20.5%
1920,79.9%,40.2%,31.9%,17.3%
1930,80.3%,42.4%,34.0%,18.6%
1940,76.1%,32.6%,24.1%,11.3%
1950,71.7%,28.5%,20.7%,9.4%
1960,71.9%,28.7%,21.1%,10.0%
1970,68.9%,25.7%,18.4%,8.4%
1980,65.7%,26.2%,19.7%,10.0%
1990,67.1%,29.8%,23.2%,12.8%
2000,70.0%,34.0%,27.2%,16.2%
2010,73.6%,38.3%,31.5%,20.2%
